"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_cost",-0.635130021112254,0.0289086096498438,-21.9702721370997,0.0433843343441692,-14.6396165969437
"mu_stsquo",-3.68256547476845,0.205989500604217,-17.8774426073493,0.252293207884948,-14.5963718391015
"mu_advisory",-1.1823108386909,0.0805579782448827,-14.6765207425746,0.0941047840226365,-12.5637697484805
"mu_catch_per_trip",0.0285769270143935,0.0230806648120365,1.2381327508162,0.0234642278325171,1.21789334890412
"mu_wqi",2.02086834496887,0.146909892299658,13.7558357257986,0.17732529979683,11.3963904038751
"mu_proportion",-1.74549155235677,0.152287114403028,-11.4618466519585,0.173843617151185,-10.0405846413031
"mu_weed",-1.64777414924725,0.213774251359958,-7.70801038368596,0.239476812130016,-6.88072525515601
"sigma_stsquo",2.37649111269839,0.160532352124645,14.8038141922518,0.217641318367163,10.9193012178378
"sigma_advisory",-0.988696304825839,0.0925513384449816,-10.6826797044495,0.144091835733393,-6.86157060733948
"sigma_catch_per_trip",0.301035824185645,0.0272008532891491,11.0671463496233,0.0380493072228664,7.91172944154767
"sigma_wqi",2.06885430593743,0.166867204910259,12.3982079465528,0.279172926767194,7.41065521608645
"sigma_proportion",1.87102694862601,0.168302832136907,11.1170259280249,0.219468940689282,8.52524709304976
"sigma_weed",2.97237882836624,0.221568694394393,13.415157030602,0.258023778545591,11.5197864519337
