"b_cost","mu_stsquo","mu_advisory","mu_catch_per_trip","mu_wqi","mu_proportion","mu_weed","sigma_stsquo","sigma_advisory","sigma_catch_per_trip","sigma_wqi","sigma_proportion","sigma_weed","logLike"
0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-5299.38005416308
0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-5265.89859456512
-0.231790706301117,-0.0962770284729709,-0.112330311956556,0.0120939458834714,0.0900822320676459,-0.0457270431143756,-0.0527027627238278,0.237660273754316,0.151750575274244,0.125345396038737,0.139828034023326,0.119006613833263,0.14719169117043,-5001.27066677325
-1.97485680779523,-2.66757932287361,-2.65992107480919,0.289309013091891,2.26498670457667,-1.2532434851735,-1.2915458339494,4.23729943369962,1.3840657115859,0.710170307388763,1.13446465166245,0.554689977286077,1.25916528427096,-4886.11096421298
-2.20170380035025,-2.94364691012149,-2.69007627589224,0.248868969371655,3.37188626370696,-1.90501840800857,-0.900954664336567,4.11720218955002,2.69323341513904,2.21029721507763,3.21927335819028,1.19733588365965,3.08303769238683,-4417.40126825956
-2.19428612725827,-2.76637732247496,-2.7382935712875,0.261338146745502,3.52372264666411,-2.0590414555665,-1.03761305011886,4.08709318502418,2.72812082141327,2.36414681980302,3.44777172648329,1.62280488956946,2.72481770607547,-4370.18849538376
-2.15395438823118,-1.49988713960068,-2.80816145360499,0.419658343488693,4.69644776525733,-2.48041350084046,-1.00392608188941,4.22861783146736,2.51483834510062,1.80916934343291,3.38785338025491,5.46311257677076,2.58516480360859,-4339.29343847018
-2.11906687873203,-1.58541956726839,-2.98443254111256,0.256178820598263,4.32994754544451,-2.04436188772938,-1.27186900144126,4.18594003040903,2.63590458239525,2.14779430507661,3.23143578854818,6.05856681760192,2.66206907106411,-4328.0889614593
-2.10480798761014,-1.84568448716089,-3.31061629213443,0.421466846084225,3.67355534251944,-1.27064357400064,-0.96634873442411,4.25999296438383,2.84467259381679,2.19164247892527,3.52753003573386,6.66650835312877,2.4876084954055,-4325.95876282634
-2.12054706509866,-1.99285452258943,-3.03541015727884,0.516547695496416,3.75263922589311,-0.94258821118745,-0.923918096900572,4.3306029972576,2.91935687711237,2.26192737264573,3.52562890797239,6.66803219416506,2.35141404109959,-4320.18639775041
-2.09929279702013,-1.98358582308917,-2.88855270541366,0.6028043456306,3.82487600200466,-0.684090256654318,-1.1397700626611,4.30887238242146,2.72055291682274,2.16933004524207,3.72069346458827,6.40855866916122,2.36662634920318,-4309.58288542919
-2.07483882095978,-1.81513046855002,-2.62235926945772,0.459819595752102,3.86216600675237,-0.543352084395241,-1.01720884063181,4.47034191403977,1.90526073649057,2.43626493516416,3.89238000286369,5.5084216387611,2.32336275439767,-4290.20581243441
-2.0046565168819,-1.65506427717369,-2.25524716113206,0.0449286684605375,3.65649132529083,-0.996071908736858,-0.97270171563438,4.39116779523241,1.97829586585638,2.19599305408252,3.82344912474597,4.22826642205244,2.15993322556699,-4245.62396384834
-1.93445012111002,-1.71633194232999,-2.11506966847707,0.204035717637186,3.52691006600617,-1.41475039085209,-0.962524491853562,4.14924629058202,1.96997960353041,2.15928679646412,3.63578659129892,3.5020133090001,2.08809821566764,-4210.65910118511
